project	dataset	shred	module-name	gene	rank	score	difference	mean	scope	depth	disease	tissue	cell_class	celltype
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	IGHG1	3	80.138959	5.316644	5.378725	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	IGHG3	5	73.253392	5.276604	5.346217	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	POU2AF1	19	44.570148	5.097468	5.313193	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	EAF2	91	23.787072	4.231453	4.807427	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	IGLC3	6	72.469414	4.712493	4.765732	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	IGLC2	8	63.320597	4.627719	4.696575	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	RPL36AL	98	22.717545	3.565172	4.005799	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	BLNK	96	23.202578	3.538067	3.963773	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	IGHM	15	48.753523	3.857606	3.941669	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	BTG2	97	22.730067	3.464206	3.897033	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	RHEX	24	42.586735	3.669092	3.793528	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	IRF4	17	45.960676	3.551799	3.644816	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	PIM2	13	51.936287	3.39989	3.470758	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	ITM2C	27	40.96159	3.242068	3.350737	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	IGLL5	12	52.844623	3.104723	3.155584	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	SLAMF7	90	24.033179	2.69251	2.900255	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	SEC11C	89	24.138745	2.652481	2.876921	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	AC092546.1	35	37.385092	2.677877	2.758808	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	NUGGC	34	37.703144	2.670897	2.753501	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	TSHR	62	26.927562	2.544745	2.707331	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	MYBL2	29	40.421855	2.599816	2.671836	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	BUB1	52	29.828121	2.543641	2.671228	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	DERL3	16	46.173473	2.530442	2.58127	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	ENAM	11	54.671328	2.460775	2.493625	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	RAC2	100	22.460814	2.28173	2.458376	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	POLQ	99	22.575526	2.280657	2.457447	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	ZNF215	70	24.988177	2.04317	2.165151	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	IGHG4	30	40.291431	2.108198	2.148503	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	CPNE5	66	25.798141	2.02219	2.128609	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	AL591518.1	45	33.52051	1.959843	2.015156	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	CCR2	39	35.789896	1.819342	1.860984	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	TNFRSF13B	28	40.752888	1.781113	1.811787	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	CD27	43	34.640621	1.64821	1.687153	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	FAM30A	40	35.466531	1.55436	1.583442	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	AC012236.1	44	34.001887	1.436292	1.467227	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	TXNDC5	56	28.514712	1.296281	1.331004	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	KLHL14	63	26.146633	1.185918	1.218946	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	CD79B	49	30.659258	1.145758	1.168182	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	FCRL2	64	25.918789	1.056227	1.0833	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	JSRP1	47	31.471974	1.020442	1.0377	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	LINC01484	95	23.310461	0.99319	1.023617	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	IGHG2	33	38.13077	1.004575	1.013532	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	IGHA2	67	25.623452	0.966384	0.987087	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	TNFRSF17	18	44.644641	0.846955	0.852309	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	PNOC	87	24.751981	0.76279	0.779232	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	IGLV3-19	25	42.450087	0.643073	0.645332	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	IGHV3-23	31	39.520772	0.572853	0.575357	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	IGHV4-34	37	36.693746	0.569324	0.572299	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	CD79A	38	35.888699	0.540692	0.543777	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Epithelial|lung	TMSB4X	63	16.031265	10.963746	12.780149	COVID-19_lung	2	COVID-19	lung	Epithelial	Epithelial
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Epithelial|lung	EEF1A1	53	16.692835	10.296997	11.750758	COVID-19_lung	2	COVID-19	lung	Epithelial	Epithelial
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Epithelial|lung	TPT1	80	14.699002	8.857776	10.363351	COVID-19_lung	2	COVID-19	lung	Epithelial	Epithelial
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Epithelial|lung	RPLP1	88	14.434861	8.558884	9.852577	COVID-19_lung	2	COVID-19	lung	Epithelial	Epithelial
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Epithelial|lung	RPS27	41	18.425039	8.93718	9.803331	COVID-19_lung	2	COVID-19	lung	Epithelial	Epithelial
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Epithelial|lung	RPL10	71	15.153342	8.370513	9.552524	COVID-19_lung	2	COVID-19	lung	Epithelial	Epithelial
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Epithelial|lung	RPL41	90	14.316091	8.29614	9.534734	COVID-19_lung	2	COVID-19	lung	Epithelial	Epithelial
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Epithelial|lung	HOPX	74	15.027854	8.287414	9.513604	COVID-19_lung	2	COVID-19	lung	Epithelial	Epithelial
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Epithelial|lung	RPS3	94	14.188976	7.911804	9.18825	COVID-19_lung	2	COVID-19	lung	Epithelial	Epithelial
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Epithelial|lung	AGER	6	28.658207	8.791931	9.150916	COVID-19_lung	2	COVID-19	lung	Epithelial	Epithelial
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Epithelial|lung	RPS18	84	14.635286	7.724651	8.781274	COVID-19_lung	2	COVID-19	lung	Epithelial	Epithelial
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Epithelial|lung	CEACAM6	20	21.878722	8.224627	8.778262	COVID-19_lung	2	COVID-19	lung	Epithelial	Epithelial
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Epithelial|lung	RPLP2	89	14.375447	7.399477	8.475712	COVID-19_lung	2	COVID-19	lung	Epithelial	Epithelial
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Epithelial|lung	RPL34	83	14.647739	7.16107	8.058975	COVID-19_lung	2	COVID-19	lung	Epithelial	Epithelial
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Epithelial|lung	CLDN18	7	28.24602	7.578594	7.86896	COVID-19_lung	2	COVID-19	lung	Epithelial	Epithelial
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Epithelial|lung	RPL18A	35	19.080429	7.303709	7.804785	COVID-19_lung	2	COVID-19	lung	Epithelial	Epithelial
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Epithelial|lung	RPS15A	51	17.069975	7.007449	7.629716	COVID-19_lung	2	COVID-19	lung	Epithelial	Epithelial
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Epithelial|lung	PPDPF	46	17.572148	6.993262	7.617724	COVID-19_lung	2	COVID-19	lung	Epithelial	Epithelial
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Epithelial|lung	AQP4	28	20.55166	6.823536	7.269066	COVID-19_lung	2	COVID-19	lung	Epithelial	Epithelial
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Epithelial|lung	RPL39	69	15.501291	6.61022	7.203519	COVID-19_lung	2	COVID-19	lung	Epithelial	Epithelial
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Epithelial|lung	RPL9	68	15.556086	6.235138	6.867261	COVID-19_lung	2	COVID-19	lung	Epithelial	Epithelial
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Epithelial|lung	MSLN	4	34.084906	6.397074	6.544042	COVID-19_lung	2	COVID-19	lung	Epithelial	Epithelial
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Epithelial|lung	POLR2L	52	16.724238	5.942865	6.442976	COVID-19_lung	2	COVID-19	lung	Epithelial	Epithelial
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Epithelial|lung	RPL22	97	14.130996	5.673592	6.331172	COVID-19_lung	2	COVID-19	lung	Epithelial	Epithelial
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Epithelial|lung	MUC1	8	26.735044	6.073385	6.279142	COVID-19_lung	2	COVID-19	lung	Epithelial	Epithelial
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Epithelial|lung	RPL26	36	18.902178	5.685578	6.006095	COVID-19_lung	2	COVID-19	lung	Epithelial	Epithelial
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Epithelial|lung	SFTPD	99	13.997281	5.353558	5.957316	COVID-19_lung	2	COVID-19	lung	Epithelial	Epithelial
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Epithelial|lung	RPL36A	18	22.363427	5.71094	5.951658	COVID-19_lung	2	COVID-19	lung	Epithelial	Epithelial
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Epithelial|lung	SFTA2	32	19.804363	5.552316	5.867722	COVID-19_lung	2	COVID-19	lung	Epithelial	Epithelial
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Epithelial|lung	RNASE1	100	13.906254	5.106541	5.644698	COVID-19_lung	2	COVID-19	lung	Epithelial	Epithelial
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Epithelial|lung	KRT8	82	14.677505	4.917624	5.372205	COVID-19_lung	2	COVID-19	lung	Epithelial	Epithelial
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Epithelial|lung	FXYD3	31	20.343901	4.998948	5.248564	COVID-19_lung	2	COVID-19	lung	Epithelial	Epithelial
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Epithelial|lung	ADIRF	48	17.261276	4.921673	5.240463	COVID-19_lung	2	COVID-19	lung	Epithelial	Epithelial
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Epithelial|lung	KRT18	78	14.719119	4.605266	4.998979	COVID-19_lung	2	COVID-19	lung	Epithelial	Epithelial
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Epithelial|lung	SUSD2	93	14.209906	4.578119	4.99719	COVID-19_lung	2	COVID-19	lung	Epithelial	Epithelial
